Nazwisko aktualne,Liczba
BROŻKO,47
BUCHMANN,47
BUDKO,47
BUDZIKUR,47
BYLEBYŁ,47
BYZIA,47
CHEMERYS,47
CHINEK,47
CHŁAPOWSKA,47
CHODYKO,47
CHODYŃ,47
CHORNENKA,47
CHOYNOWSKA,47
CHRÓŚNIAK,47
CHWAT,47
CIĄGWA,47
CIEREBIEJ,47
CYBAL,47
CZAPRAŃSKA,47
CZARNUSZEWICZ,47
CZERNIEJEWICZ,47
CZOŁGOWSKA,47
CZOŁOWSKA,47
CZYRAK,47
DADAN,47
DAMENTKO,47
DANIELS,47
DARMOŃ,47
DEPKO,47
DEREWIECKA,47
DERNOWSKA,47
DERSZNIAK,47
DIERING,47
DLUGOSCH,47
DOBROSZCZYK,47
DOGADALSKA,47
DOLINSKA,47
DOŁOWICZ,47
DONOCH,47
DORAK,47
DOROBIAŁA,47
DOVHAL,47
DOYLE,47
DRANICKA,47
DRZEWEK,47
DUCHLIŃSKA,47
DWÓRSKA,47
DWUCET,47
DYBCZYK,47
DYDYCZ,47
DYLIKOWSKA,47
DYR,47
DYZMAŃSKA,47
DZIENDZIOŁ,47
ERIKSEN,47
FĄDERSKA,47
FEDYCZKOWSKA,47
FEIGE,47
FELBUR,47
FELER,47
FELGER,47
FINDURA,47
FINKOWSKA,47
FITOŁ,47
FLEJMER,47
FLORYAN,47
FOL,47
FOLTARZ,47
FORJASZ,47
FRANUSIK,47
FRANUSZKIEWICZ,47
FREDRYCH,47
FRUGA,47
FRUZIŃSKA,47
FUJAROWICZ,47
GARBECKA,47
GARDZIELIK,47
GASIECKA,47
GAWRJOŁEK,47
GIEDZ,47
GIERAKOWSKA,47
GINSZT,47
GINTROWSKA,47
GIRO,47
GLIWNA,47
GOITOWSKA,47
GOLEMBA,47
GOLY,47
GONDOREK,47
GOŹDZIOŁKO,47
GÓRECZNY,47
GRAJCZYŃSKA,47
GRECZYŃSKA,47
GREMBECKA,47
GRENDUS,47
GROBERSKA,47
GRZECZKOWICZ,47
GUDAJ,47
GWISZCZ,47
GZARA,47
HABZDA,47
HACAŚ,47
HAJDAŚ,47
HARASNA,47
HARDT,47
HARIASZ,47
HARLEJCZYK,47
HASIKOWSKA,47
HEESE,47
HEJDYSZ,47
HENDRYS,47
HERSZEL,47
HETKO,47
HILAROWICZ,47
HILT,47
HIPPLER,47
HNATENKO,47
HODOWANA,47
HOLOVACH,47
HOŁOWCZYC,47
HORDYJEWICZ,47
HORODETSKA,47
HUDZICKA,47
HULKA,47
IMBIORKIEWICZ,47
ISKO,47
JADKOWSKA,47
JAKOMULSKA,47
JARYMOWICZ,47
JASIENIAK,47
JASKURZYŃSKA,47
JEDOWSKA,47
JĘCZAREK,47
JĘDRZYŃSKA,47
JĘDYKIEWICZ,47
JÓSIAK,47
JULKE,47
JUNATOWSKA,47
JURCZOK,47
KACZWIŃSKA,47
KADECKA,47
KALINIEWICZ,47
KALUBA,47
KAMIANOWSKA,47
KAPTUROWSKA,47
KARNASZEWSKA,47
KARPOWSKA,47
KATRYŃSKA,47
KENIGSMAN,47
KĘPYS,47
KICZA,47
KIEJDA,47
KIELARSKA,47
KIEŁPIN,47
KLAJNOWSKA,47
KLECZEK,47
KLEWER,47
KŁAPOT,47
KŁODKOWSKA,47
KNYCHAS,47
KOLER,47
KOLIGOT,47
KOMENDAREK,47
KONAS,47
KONCZEREWICZ,47
KONOPELKO,47
KONSTANTINOVA,47
KOPISTECKA,47
KORNIAT,47
KOROBKA,47
KOSAREWICZ,47
KOSELNIK,47
KOSIUK,47
KOSZYCZAREK,47
KOTELNICKA,47
KOVALYSHYN,47
KOZŁOW,47
KRAMARZEWSKA,47
KRAMCZYŃSKA,47
KRAMORZ,47
KRAWECKA,47
KRAWNIAK,47
KROŚNIA,47
KRÓLICA,47
KRUGIEŁKA,47
KRUPNICKA,47
KRUSZECKA,47
KRZAL,47
KSZCZOTEK,47
KUBUŚ,47
KUCZABA,47
KUJACZ,47
KUMINEK,47
KUNASZ,47
KUNIEJ,47
KURAŁOWICZ,47
KUREŃ,47
KURHAN,47
KURIAN,47
KUSIUK,47
KUŻAWA,47
KWOCZEK,47
LABISZAK,47
LABZA,47
LAK,47
LASZ,47
LATUSZEWSKA,47
LAVROVA,47
LĄG,47
LEDWON,47
LEGENDZIEWICZ,47
LEJMEL,47
LEMANEK,47
LENKO,47
LEONIEWSKA,47
LEPSKA,47
LERCHE,47
LESZCZAWSKA,47
LICHTBLAU,47
LINTNER,47
LIPIŃSKI,47
LITVINCHUK,47
LONSER,47
LUBLIŃSKA,47
LUTOSŁAWSKA,47
ŁADYSZ,47
ŁASZUK,47
ŁUBOCKA,47
ŁUĆKO,47
MAĆKOWICZ,47
MAGOLON,47
MAGOSKA,47
MAINDOK,47
MALESSA,47
MAŁYSZCZAK,47
MAMES,47
MANTYCKA,47
MAROSZCZYK,47
MARTYNIEC,47
MAŚ,47
MATUSCHEK,47
MATUŚKIEWICZ,47
MELCHERT,47
MENDUCKA,47
METLER,47
MIECIELICA,47
MIĘKISZ,47
MILEJCZAK,47
MISZAŁOWSKA,47
MIZDALSKA,47
MOGIŁKA,47
MOHAMMED,47
MOSIEJCZUK,47
MOSS,47
MOSTYŁ,47
MOTWICKA,47
MRAZ,47
MUDYN,47
MULAREWICZ,47
MUSIELEWSKA,47
MUZEJA,47
MYKHALIUK,47
NACHIŁO,47
NACHTYGAL,47
NADYBAŁ,47
NAGANOWSKA,47
NAJDZIONEK,47
NAJSAREK,47
NARZYMSKA,47
NASTAWSKA,47
NASZEWSKA,47
NAZARCZYK,47
NĄCKIEWICZ,47
NECHAI,47
NEKRASOVA,47
NEUMILER,47
NIECHCIELSKA,47
NIEMCZAL,47
NIEPRZECKA,47
NIEPYTALSKA,47
NIERÓBCA,47
NIESTERUK,47
NIGOWSKA,47
NOGACZ,47
NOWEL,47
NOWROCKA,47
OCHĘDALSKA,47
OHL,47
OKUPNIAREK,47
OLŻYŃSKA,47
ONUCHOWSKA,47
OPACZEWSKA,47
OSTER,47
OTUSZEWSKA,47
OVCHARUK,47
OZIABŁO,47
ÖZKAN,47
PABIJAŃCZYK,47
PACUDA,47
PAINTA,47
PAKULNIEWICZ,47
PAŁASIEWICZ,47
PANCZYK,47
PANKO,47
PAPAJEWSKA,47
PARALUK,47
PARYŁO,47
PASTRYK,47
PATERMAN,47
PATRZAŁA,47
PERCHLICKA,47
PIASKIEWICZ,47
PIEROWSKA,47
PIETRYCHA,47
PIETRYSZEK,47
PILASZEWSKA,47
PILUT,47
PISIAŁEK,47
PŁONCZYŃSKA,47
PŁÓCIENIAK,47
POCHYLCZUK,47
POCIEJEWSKA,47
POCZEKAJŁO,47
PODKRÓLEWICZ,47
PODOGROCKA,47
PODSTOLSKA,47
POLIAK,47
POŁCZYK,47
PORANKIEWICZ,47
POTASZ,47
POŹDZIEJ,47
PROKOPIK,47
PROSTACKA,47
PRZYBYLSKI,47
PUCICKA,47
PUZIUK,47
PUZOWSKA,47
RADU,47
RAJMUND,47
RAKONIEWSKA,47
RAKSA,47
RAKSIMOWICZ,47
RAMIK,47
RASCH,47
RECHETA,47
REGOSZ,47
REHMUS,47
REJMANN,47
REMFELD,47
RESPOND,47
RIMPLER,47
ROSENGART,47
ROSOLIŃSKA,47
ROSSOWSKA,47
ROSZEK,47
ROZKRES,47
ROŹNIAKOWSKA,47
RUDANIECKA,47
RUSNACZYK,47
RYDECKA,47
RYPYŚĆ,47
RYSMANOWSKA,47
RZEPINSKA,47
RZĘPOŁUCH,47
RZÓSKA,47
RZUCZKOWSKA,47
SADŁUCKA,47
SAFIEJKO,47
SAHAIDAK,47
SAŁADYGA,47
SAŁATOWSKA,47
SATEJA,47
SCHADE,47
SCHMOLKE,47
SCHWABE,47
SEBASTIANOWICZ,47
SEITZ,47
SELWENT,47
SELWON,47
SEN,47
SENIÓW,47
SERUŚ,47
SEWERYNOWICZ,47
SIANKIEWICZ,47
SIEMBRZUCH,47
SIEMIGINOWSKA,47
SIERACZKIEWICZ,47
SIGMUND,47
SILECKA,47
SIMEONOVA,47
SIOTOR,47
SKAMROT,47
SKRABEK,47
SKRUSZENIEC,47
SKWARCZEWSKA,47
SLIUSARENKO,47
SŁANINA,47
SŁUCKA,47
SMAHA,47
SMERD,47
SMOLNY,47
SOBASIK,47
SOBECHOWICZ,47
SOBYRA,47
SOFOREK,47
SOJKOWSKA,47
SOLCZAK,47
SOPOT,47
SOROCHYNSKA,47
SPRUTA,47
STANDARSKA,47
STANISZCZAK,47
STARCZAŁA,47
STARKBAUER,47
STAROSOLSKA,47
STAWIANY,47
STEFANYSHYN,47
STELTMANN,47
STENCLIK,47
STEPANYAN,47
STERNADEL,47
STĘPEL,47
STOBIENIA,47
STRUPOWSKA,47
STRZAŁBA,47
STRZEBIŃCZYK,47
STRZECH,47
STRZEDZIŃSKA,47
STYKAŁA,47
SUCHOWICZ,47
SUMIEŃ,47
SUPERNIOK,47
SVIDERSKA,47
SWĘDRA,47
SYCZUK,47
SYKURSKA,47
SZABRA,47
SZARUBKA,47
SZARZAŁA,47
SZCZEGÓRA,47
SZCZUPAJ,47
SZCZYPECKA,47
SZCZYTNIEWSKA,47
SZEREDY,47
SZEREL,47
SZEWCZUWIANIEC,47
SZKARADKIEWICZ,47
SZKLANA,47
SZMALENBERG,47
SZMYGIN,47
SZPRYNC,47
SZREDZIŃSKA,47
SZRENIAWA,47
SZROT,47
SZTELA,47
SZTOGRYN,47
SZTONYK,47
SZUCHALSKA,47
SZUCIAK,47
SZUFLADOWICZ,47
SZULAWSKA,47
SZWAGULIŃSKA,47
SZWINDOWSKA,47
SZYDUK,47
SZYGA,47
SZYLBERG,47
SZYŁKOWSKA,47
ŚLEPOKURA,47
ŚLICZNA,47
ŚNIAROWSKA,47
ŚRUTOWSKA,47
ŚWIDROWSKA,47
ŚWIENC,47
ŞAHIN,47
TABAS,47
TARGAS,47
TEMICH,47
TOMASZKOWICZ,47
TOMSZA,47
TOPORCZYK,47
TRAFARSKA,47
TROFIMOWICZ,47
TROLL,47
TRUSS,47
TRWOGA,47
TSARENKO,47
TULISZEWSKA,47
TUMIDAJ,47
TUNIEWICZ,47
TURONEK,47
TYBON,47
TYMOSZEWICZ,47
TYNIOR,47
UDALSKA,47
UDZIŃSKA,47
UKALSKA,47
USIDUS,47
USZAK,47
UZIEMBŁO,47
VASILEUSKAYA,47
VASKIV,47
VEITH,47
VOVCHENKO,47
WABIA,47
WACHEK,47
WAGAN,47
WALOT,47
WANGLER,47
WANTRYCH,47
WARDZYK,47
WARMUZEK,47
WĄTROBSKA,47
WDANIEC,47
WDOWIAREK,47
WECHMANN,47
WEIGELT,47
WELO,47
WENCŁAWEK,47
WENGER,47
WEWIOR,47
WIDALSKA,47
WIDUREK,47
WIECZORKE,47
WIELGAN,47
WIENER,47
WILANOWICZ,47
WILKINSON,47
WIRGA,47
WITELUS,47
WŁUDZIK,47
WOJDASZKA,47
WOJTACHNIA,47
WOLANO,47
WOLEŃ,47
WOŁOCHOWICZ,47
WOROŃKO,47
WOZOWCZYK,47
WUCKA,47
WYCZOŁEK,47
WYLĘGAŁA,47
YAVUZ,47
ZACIURA,47
ZAGÓLSKA,47
ZAGRZEJEWSKA,47
ZAMKOTOWICZ,47
ZANDEK,47
ZARÓWNY,47
ZARYCZNA,47
ZASADZIEŃ,47
ZAWADEWICZ,47
ZAWIDLAK,47
ZAWIRSKA,47
ZĄZEL,47
ZGRZEBNIAK,47
ZIELAZIŃSKA,47
ZIMIERSKA,47
ZIMNOWŁODZKA,47
ZIÓŁCZYK,47
ZMUDZIEJEWSKA,47
ZORINA,47
ZREDA,47
ZWADŁO,47
ZWIERNIAK,47
ZYGIERT,47
ZYNTEK,47
ŻARECKA,47
ŻUKOCIŃSKA,47
ŻURKO,47
ŻWAN,47
ŻYŻYŃSKA,47
AKIERMAN,46
ALFUTH,46
AURON,46
AWTUCH,46
BACAJEWSKA,46
BAJACZYK,46
BAJCZYK,46
BAJDZIAK,46
BALOGH,46
BAŁABAŃSKA,46
BAŁUTOWSKA,46
BARDOSZ,46
BARTOSZKIEWICZ,46
BARWIOŁEK,46
BARZAŁ,46
BAZYCHOWSKA,46
BECHEROWSKA,46
BEKASIAK,46
BENBENEK,46
BENTLEJEWSKA,46
BEPIRSZCZ,46
BERNASZUK,46
BEZKROVNA,46
BIALUK,46
BIAŁOŁĘCKA,46
BIAŁOMAZUR,46
BIBA,46
BIBLIS,46
BIELAŃCZUK,46
BIJAN,46
BILLER,46
BLASZKOWSKA,46
BLECHARSKA,46
BLISZCZYK,46
BŁASZK,46
BŁAŻYCZEK,46
BOBEŁA,46
BOGNER,46
BOŁZAN,46
BONAWENTURCZAK,46
BONOWSKA,46
BOŃCZOSZEK,46
BORDOWICZ,46
BORLA,46
BOTUR,46
BRADEL,46
BRAKSAL,46
BRAMSKA,46
BREJCZAK,46
BRYLIKOWSKA,46
BRZAZGACZ,46
BRZYKCA,46
BUDZIEJKO,46
BUJAN,46
BUJKOWSKA,46
BULEJAK,46
BULGA,46
BULICZAK,46
BUNIEWICZ,46
BURCEWICZ,46
BURCHAŁA,46
BURGS,46
BUROWSKA,46
BUSIAK,46
BYDLIŃSKA,46
BYRSZEL,46
CECOTA,46
CELEGRAT,46
CELOCH,46
CHALEWSKA,46
CHARUZA,46
CHLUDEK,46
CHRAPKA,46
CHRAST,46
CHRISTOPH,46
CHRYSTOWSKA,46
CHYNAŁ,46
CIACIA,46
CIĄGLEWICZ,46
CICIORA,46
CIELĄTKOWSKA,46
CIENKI,46
CIĘŻKAL,46
CUPAŁA,46
CYCHOL,46
CYMBALIŃSKA,46
CZACHUR,46
CZEPIRSKA,46
CZUBATKA,46
CZUPTA,46
ĆWILĄG,46
DAAB,46
DAMENTKA,46
DAŃCZYK,46
DARCZ,46
DESPET,46
DĘBIK,46
DIUPERO,46
DŁUBAKOWSKA,46
DONDAJ,46
DOPPKE,46
DORDZIK,46
DOS SANTOS,46
DROPIK,46
DUDZIKOWSKA,46
DURASIK,46
DYBACKA,46
DYHDALEWICZ,46
DYLDA,46
DYTKOWICZ,46
DZIEDZIANOWICZ,46
DŹWIGALSKA,46
EDYK,46
ELANDT,46
ELJASZUK,46
EMMERLING,46
FACON,46
FARJASZEWSKA,46
FESTER,46
FIDELAK,46
FIEDUCIK,46
FIEDUR,46
FIEDZIUSZKO,46
FIGATOWSKA,46
FILL,46
FIRCZYK,46
FISTEK,46
FISZBACH,46
FLORJAŃSKA,46
FLORKA,46
FORYSZ,46
FRENKEL,46
FRYDRYCHEWICZ,46
FU,46
FUROWICZ,46
GABSKA,46
GACYK,46
GAJOCHA,46
GARDY,46
GARUSIŃSKA,46
GASIAK,46
GATZKA,46
GAWRONIAK,46
GAWRYOŁEK,46
GERING,46
GĘBACZ,46
GĘBIŚ,46
GIEŃKO,46
GIERASIMOW,46
GIERCARZ,46
GIESZCZYŃSKA,46
GILAK,46
GIRGIEL,46
GIWOJNO,46
GLABAS,46
GLIŚCIAK,46
GLONKOWSKA,46
GŁUSZUK,46
GNEBA,46
GNIEWOWSKA,46
GNIOZDORZ,46
GOLENIEC,46
GORCZYCZYŃSKA,46
GORDEL,46
GOSPOŚ,46
GÓRCZANA,46
GRABYSA,46
GRAJETA,46
GRANATYR,46
GRODNY,46
GROMNA,46
GRONIECKA,46
GROSZAK,46
GRYBOWICZ,46
GRYCMACHER,46
GRZANOWSKA,46
GRZECHULSKA,46
GRZYBOWICZ,46
GUZIKIEWICZ,46
GWOŹDZIEJ,46
HADŁO,46
HADYNA,46
HAIEVSKA,46
HAJKA,46
HANAKA,46
HAŃĆ,46
HARGOT,46
HECIAK,46
HECK,46
HENNING,46
HERASYMOVA,46
HERZ,46
HILGIER,46
HNATYSZAK,46
HOLEC,46
HOLIŃSKA,46
HOLOVCHENKO,46
HONCEL,46
HORBATOWSKA,46
HRONOWSKA,46
HRYHORASH,46
HULIST,46
IVANOV,46
IWANDOWSKA,46
JACHLEWSKA,46
JAJDELSKA,46
JAŁTUSZYK,46
JAMRYCH,46
JANACZYK,46
JANISIAK,46
JARANTOWICZ,46
JARMOSZ,46
JARUBAS,46
JAŚCZAK,46
JAWIARCZYK,46
JENA,46
JENDRASZAK,46
JERMAKOW,46
JĘDZIEROWSKA,46
JĘKOSZ,46
JOBSKA,46
JOCHYMSKA,46
JODEŁKO,46
JÓRZAK,46
JUCKIEWICZ,46
JURASIŃSKA,46
JURCABA,46
JURUĆ,46
JUSIK,46
KALISZTAN,46
KALKO,46
KAŁDUN,46
KAMPER,46
KAPŁONEK,46
KARETKO,46
KAROLONEK,46
KARPOVICH,46
KASZOK,46
KAZLOUSKAYA,46
KENSIK,46
KIDAJ,46
KIECOK,46
KIEŁBANIA,46
KIERSTEIN,46
KIERSZNOWSKA,46
KIESZCZYŃSKA,46
KIKULSKA,46
KIRCZUK,46
KLAKA,46
KLEMENSIEWICZ,46
KLESZEWSKA,46
KLISZCZYŃSKA,46
KLUSAK,46
KŁOMSKA,46
KŁOSKOWICZ,46
KOÇ,46
KOJARA,46
KOLATORSKA,46
KOLIGAT,46
KOLMUS,46
KONATOWICZ,46
KONCZAK,46
KONOVAL,46
KONWISARZ,46
KOPF,46
KOPOCZ,46
KOPYŚCIAŃSKA,46
KOROLIUK,46
KOROTKOVA,46
KOSIŁO,46
KOSMOL,46
KOSTA,46
KOSTYRKA,46
KOSZADA,46
KOSZCZYK,46
KOTIK,46
KOZDÓJ,46
KOZDROWICZ,46
KOZIEROWSKA,46
KOZIOROWICZ,46
KRAWAŃSKA,46
KRZYWOSZYŃSKA,46
KSIĘŻNIAK,46
KSZUK,46
KUBASEK,46
KUCINA,46
KUCZATY,46
KUŁAS,46
KUPAJCZYK,46
KURDYN,46
KURDZIEKO,46
KURINNA,46
KURLAK,46
KUSZTAŁA,46
KUTARNIA,46
KUTRYN,46
KUZIEMKA,46
KWITA,46
LACKORZYŃSKA,46
LADWINIEC,46
LEDWOLORZ,46
LEKSA,46
LEMPKA,46
LESCH,46
LESICA,46
LICZYCKA,46
LINKNER,46
LISSEK,46
LOCIŃSKA,46
LOZINSKA,46
ŁABISZAK,46
ŁADECKA,46
ŁAMEJKO,46
ŁANIEWICZ,46
ŁAWRÓW,46
ŁĘKOWSKA,46
ŁOMOT,46
ŁOMOWSKA,46
ŁOWAS,46
MACHLA,46
MADELSKA,46
MADZIARSKA,46
MAKSELAN,46
MALGRAB,46
MALOK,46
MAŁAJOWICZ,46
MANDALKA,46
MANTURA,46
MANULIK,46
MARCHALEWSKA,46
MARCHWIANY,46
MARCOŃ,46
MARESZ,46
MARGICIOK,46
MARKIECKA,46
MARMUR,46
MARTINS,46
MARTOFEL,46
MARTYNYUK,46
MASELI,46
MASZLANKA,46
MASZYNA,46
MAŚLISZ,46
MATEJEWICZ,46
MATWIEJKO,46
MAZIAR,46
MCDONALD,46
MECHA,46
MEHR,46
MELNYCZUK,46
MENDYCKA,46
METLICKA,46
MĘDYGRAŁ,46
MIELNIKOW,46
MIEŁEK,46
MIGDALCZYK,46
MIGODA,46
MIKLUSZKA,46
MIŁOS,46
MISZON,46
MŁYNARCZYKOWSKA,46
MOCHOŃ,46
MOCZULEWSKA,46
MOKROSZ,46
MOKRUS,46
MONGIAŁO,46
MORDASEWICZ,46
MORLO,46
MROK,46
MULCZYK,46
MUNDT,46
MURADYAN,46
MURANKO,46
MURAWSKI,46
MUROŃ,46
MYDLIKOWSKA,46
MYHAL,46
MYRCZIK,46
MYSZKOWIAK,46
MYSZOGRAJ,46
NACKOWSKA,46
NALEŹNY,46
NAPRAWSKA,46
NARODOWIEC,46
NATYWO,46
NĘDZEWICZ,46
NIESTRATA,46
NIKIELSKA,46
NIKLIŃSKA,46
NIZIK,46
NIŻNIOWSKA,46
NOWOGRÓDZKA,46
NYZIAK,46
OBOLEWSKA,46
OCHMIŃSKA,46
OCHOT,46
OCYPA,46
ODRAKIEWICZ,46
OLEFIRENKO,46
OLERADZKA,46
OMELIANENKO,46
OPANASIUK,46
ORAWIN,46
ORMANTY,46
OSMOLIŃSKA,46
OSUCHA,46
OSZWA,46
OŚMAK,46
OWCZAR,46
PABJANEK,46
PACUCHA,46
PAGE,46
PARAFIAN,46
PATROŃSKA,46
PAWLOWSKI,46
PAWŁOCKA,46
PAWŁUSZEK,46
PAWŁUSZEWICZ,46
PELAR,46
PERETA,46
PERLICEUSZ,46
PETRUŚ,46
PETYNIA,46
PEWNA,46
PĘCZALSKA,46
PIASECKI,46
PIĄDŁOWSKA,46
PICHÓRZ,46
PIERWOCHA,46
PIESOWICZ,46
PIETRUCZYK,46
PIĘDZIOCH,46
PIĘTOS,46
PILAKOWSKA,46
PILATOWICZ,46
PINDAK,46
PIOR,46
PISZCZAK,46
PLAMINIAK,46
PŁUCISZ,46
POCIELEJ,46
POCIERZNICKA,46
POLOŃCZYK,46
POLUSIK,46
POLUT,46
PONCZYŃSKA,46
PONICHTER,46
POPADOWSKA,46
POPCZAK,46
POPKOWICZ,46
PORCZ,46
POTUCHA,46
POWNUK,46
POZOREK,46
PRAUSE,46
PRETKO,46
PROKOPIV,46
PRUŚNIEWSKA,46
PSZCZEL,46
PUCHŁOWSKA,46
PUCKO,46
PUDRZYŃSKA,46
PURAT,46
PUSCH,46
PUSTOVA,46
PUŹMIROWSKA,46
PYRK,46
PYTLOCH,46
RACHALSKA,46
RADZIĘCIAK,46
RAJBA,46
RAJCHELT,46
RANKIEWICZ,46
REDAS,46
REDLEWSKA,46
REJZNER,46
REMESZ,46
REPECKA,46
ROKOCZ,46
ROMANETS,46
ROPUSZYŃSKA,46
ROSINSKA,46
ROSNOWSKA,46
ROSZYKIEWICZ,46
ROZE,46
ROZLAZŁY,46
RUCZKO,46
RYBAKOWICZ,46
RYBAŁKO,46
RYDLICHOWSKA,46
RYSZCZYŃSKA,46
RZYMANEK,46
SACHARKO,46
SAĆ,46
SADOWIŃSKA,46
SAJNOK,46
SAMISZ,46
SANTAREK,46
SĄPOR,46
SCHEITHAUER,46
SDZUJ,46
SEMENETS,46
SENIV,46
SEŃCZYK,46
SEPSKA,46
SEREDZIŃSKA,46
SHLAPAK,46
SHYMKO,46
SICH,46
SIDOROW,46
SIEBUŁA,46
SIERACZYŃSKA,46
SIMONI,46
SINACKA,46
SINIAK,46
SIVAK,46
SKROMAK,46
SKRYPKO,46
SKRZYPOWSKA,46
SŁADCZYK,46
SŁUGA,46
SŁUŻALSKA,46
SMALEJ,46
SMARSZ,46
SMELIK,46
SMOCZOK,46
SOBIANEK,46
SOBÓW,46
SOBSKA,46
SOLODKA,46
SOLOHUB,46
SOSNAL,46
SPENCER,46
STACHOWCZYK,46
STAKUN,46
STAŁĘGA,46
STARZYKIEWICZ,46
STASIELUK,46
STASIV,46
STAWASZ,46
STAWNICZA,46
STELLA,46
STERLIŃSKA,46
STĘCEL,46
STRUSIEWICZ,46
STRYJAKOWSKA,46
STRZEBINCZYK,46
STUMPF,46
STUPKIEWICZ,46
SUCHAR,46
SULLIVAN,46
SUMIGOWSKA,46
SWOIŃSKA,46
SYCHOWIEC,46
SYGDZIAK,46
SYKUS,46
SZABUŃKO,46
SZACHNIUK,46
SZANCIŁO,46
SZARŻANOWICZ,46
SZEMBEK,46
SZEWEL,46
SZKRABA,46
SZLACHCIUK,46
SZMELCER,46
SZNITKO,46
SZÓSTKO,46
SZPERLAK,46
SZTYLKO,46
SZUSZCZEWICZ,46
SZYMAREK,46
SZYMASZKIEWICZ,46
ŚLEDZIAK,46
ŚLEPACZUK,46
ŚLIWIOK,46
ŚMIATEK,46
ŚMIGASZEWSKA,46
ŚWIERGAŁA,46
TABIAN,46
TAŁAJKOWSKA,46
TARKAWIAN,46
TELLER,46
TEMEL,46
TŁOCZKOWSKA,46
TOBIJASZ,46
TODORCZUK,46
TOMCHUK,46
TOPÓLSKA,46
TORRES,46
TROTSENKO,46
TRYHUB,46
TRZAK,46
TRZEBA,46
TRZOSOWSKA,46
TRZYBULSKA,46
TUBIAK,46
TUKALSKA,46
TULEC,46
TUMIALIS,46
TYJEWSKA,46
TYMCHYSHYN,46
TYMOSZEWSKA,46
TYRYŁŁO,46
ULKO,46
ULMANIEC,46
URAZIŃSKA,46
UŚNIACKA,46
WALENDZIEWSKA,46
WALERIAŃSKA,46
WALEWANDER,46
WALULIK,46
WARŁO,46
WARNO,46
WARTOŃ,46
WASINIAK,46
WAWRZENIECKA,46
WEIER,46
WEISSMANN,46
WELEDA,46
WENDREŃSKA,46
WERACHOWSKA,46
WERAKSA,46
WEST,46
WEZGRAJ,46
WĘDEL,46
WICZEWSKA,46
WIELONEK,46
WIENCIS,46
WIERZCHNICKA,46
WIĘCLEWSKA,46
WILSZ,46
WIRTEL,46
WIŚNIEWOLSKA,46
WITAJEWSKA,46
WITALIŃSKA,46
WITCZYŃSKA,46
WITZKE,46
WLAŹLIŃSKA,46
WŁOGA,46
WŁOŚ,46
WNUK LIPINSKA,46
WOLANIK,46
WOLIN,46
WOWCZUK,46
WYLENZEK,46
WYŁUDA,46
XIA,46
XIE,46
YUKHYMCHUK,46
ZACHAROW,46
ZACHARY,46
ZAGANIACZ,46
ZAGOŹDZIŃSKA,46
ZAKRZYŃSKA,46
ZAPARTOWICZ,46
ZARADNIAK,46
ZBĘK,46
ZDANIUKIEWICZ,46
ZENKNER,46
ZERBE,46
ZĘBALSKA,46
ZGRAJKA,46
ZIELASKO,46
ZIELENIEC,46
ZIĘTERSKA,46
ŻEGALSKA,46
ŻELEŹNA,46
ŻWAWA,46
ŻYDACZEWSKA,46
ŻYWKO,46
ABŁAŻEWICZ,45
ABRAMCHUK,45
ADAMONIS,45
AGIER,45
AJTNER,45
ALEKSANDROW,45
AN,45
ANCYGIER,45
ANDRUSZAK,45
ANKUROWSKA,45
ANTOŚKIEWICZ,45
ANZULEWICZ,45
APANASIEWICZ,45
APELT,45
ARSOBA,45
AVDIEIEVA,45
BABIOCH,45
BADE,45
BALIN,45
BANDURKA,45
BARDAK,45
BARRY,45
BARTOŁOWICZ,45
BASINSKA,45
BASZTON,45
BAUMGARTNER,45
BERGIUS,45
BERNE,45
BIENIASZEK,45
BILENKO,45
BIROŚ,45
BIRULA,45
BLONKA,45
BŁOCHO,45
BOCIONEK,45
BOGAJEWICZ,45
BOGULAS,45
BOGUSŁOWICZ,45
BONKIEWICZ,45
BORTNIAK,45
BRASŁAWSKA,45
BRDĘK,45
BRIKS,45
BRUCHMANN,45
BRYJOK,45
BRZOSKIEWICZ,45
BRZÓZY,45
BRZUCHALA,45
BRZUCHAŃSKA,45
BUDYSZ,45
BUKSAK,45
BURMISTRZ,45
BZDELA,45
CARROLL,45
CELNER,45
CESZKE,45
CHATLIŃSKA,45
CHEJDUK,45
CHLEBNY,45
CHŁOPIŃSKA,45
CHORĄŻYKIEWICZ,45
CHWALUK,45
CHWAŁKA,45
CHWAŁKO,45
CICHORADZKA,45
CIECZKA,45
CIELISZAK,45
CIEPLA,45
CIERNIOCH,45
CIEŚNIARSKA,45
CIĘCIERA,45
CIÓŁKOWSKA,45
CISZKOWICZ,45
COPA,45
COPIAK,45
CZARNOŁĘCKA,45
CZATROWSKA,45
CZEKALLA,45
CZEPANIS,45
CZUŁNOWSKA,45
DABIOCH,45
DANCHUK,45
DANDYK,45
DANYLOVA,45
DELESTOWICZ,45
DELIKOWSKA,45
DENDRA,45
DERDOŃ,45
DERKUS,45
DĘBNIEWSKA,45
DIETZ,45
DOLINNA,45
DOMANSKA,45
DOMAS,45
DOMIŃCZUK,45
DOVHALIUK,45
DRAGAŃCZUK,45
DRUZIC,45
DRYŃSKA,45
DUBIELIS,45
DUDLEJ,45
DUMANIA,45
DURŁO,45
DZIADZIA,45
DZIAŁOCHA,45
