IMIĘ_PIERWSZE,PŁEĆ,LICZBA_WYSTĄPIEŃ
SALOMEA,KOBIETA,2314
VIRA,KOBIETA,2306
NADZIEJA,KOBIETA,2296
EDWARDA,KOBIETA,2290
ELFRYDA,KOBIETA,2284
NEL,KOBIETA,2271
INEZ,KOBIETA,2265
MARIYA,KOBIETA,2175
SOPHIE,KOBIETA,2158
ALENA,KOBIETA,2156
EMILY,KOBIETA,2073
OLA,KOBIETA,2044
EDELTRAUDA,KOBIETA,2041
STELLA,KOBIETA,2017
MICHELLE,KOBIETA,2008
NATALIYA,KOBIETA,1974
YEVHENIIA,KOBIETA,1954
SARAH,KOBIETA,1937
ANGELA,KOBIETA,1932
TOLA,KOBIETA,1913
MARINA,KOBIETA,1868
YELYZAVETA,KOBIETA,1838
YULIYA,KOBIETA,1823
MIRIAM,KOBIETA,1801
INES,KOBIETA,1785
OLESIA,KOBIETA,1783
RUSLANA,KOBIETA,1773
IRINA,KOBIETA,1769
LEA,KOBIETA,1760
IZA,KOBIETA,1739
ARLETTA,KOBIETA,1718
JAŚMINA,KOBIETA,1718
WIERA,KOBIETA,1711
GALYNA,KOBIETA,1686
ROMA,KOBIETA,1670
RUTA,KOBIETA,1667
NATALIE,KOBIETA,1661
MARIETTA,KOBIETA,1660
KLEMENTYNA,KOBIETA,1655
MANUELA,KOBIETA,1655
KLAUDYNA,KOBIETA,1643
HELGA,KOBIETA,1623
ANTONIA,KOBIETA,1615
ANASTASIYA,KOBIETA,1605
VITA,KOBIETA,1600
POLINA,KOBIETA,1586
EVA,KOBIETA,1578
RAISA,KOBIETA,1567
TATSIANA,KOBIETA,1565
GERDA,KOBIETA,1527
GRETA,KOBIETA,1506
LIDIIA,KOBIETA,1497
NATALLIA,KOBIETA,1466
KARYNA,KOBIETA,1452
MARHARYTA,KOBIETA,1435
ANA,KOBIETA,1411
VOLHA,KOBIETA,1406
MYROSLAVA,KOBIETA,1404
IRMGARDA,KOBIETA,1397
TEOFILA,KOBIETA,1393
KRISTINA,KOBIETA,1386
MILA,KOBIETA,1381
EULALIA,KOBIETA,1380
FLORENTYNA,KOBIETA,1377
DOBROSŁAWA,KOBIETA,1373
BERNARDYNA,KOBIETA,1360
ULIANA,KOBIETA,1354
ANDREA,KOBIETA,1351
JAROSŁAWA,KOBIETA,1349
ZHANNA,KOBIETA,1347
MARTINA,KOBIETA,1338
SOPHIA,KOBIETA,1313
KATSIARYNA,KOBIETA,1298
ERNA,KOBIETA,1294
ANZHELA,KOBIETA,1291
TETYANA,KOBIETA,1288
IULIIA,KOBIETA,1274
ERIKA,KOBIETA,1270
VERONICA,KOBIETA,1261
LARA,KOBIETA,1256
NICOL,KOBIETA,1225
LIVIA,KOBIETA,1215
DARYNA,KOBIETA,1211
WANESA,KOBIETA,1211
HANKA,KOBIETA,1207
LINDA,KOBIETA,1206
LUBA,KOBIETA,1196
ANASTASIA,KOBIETA,1191
DŻESIKA,KOBIETA,1185
MARCJANNA,KOBIETA,1181
JENNIFER,KOBIETA,1169
ALA,KOBIETA,1165
MALINA,KOBIETA,1161
ANHELINA,KOBIETA,1154
NIKOL,KOBIETA,1154
GANNA,KOBIETA,1150
MAJKA,KOBIETA,1149
WIRGINIA,KOBIETA,1141
PATRICIA,KOBIETA,1137
KSENIIA,KOBIETA,1133
ZINAIDA,KOBIETA,1132
ISABELLA,KOBIETA,1121
MARITA,KOBIETA,1121
GLORIA,KOBIETA,1120
BALBINA,KOBIETA,1118
KUNEGUNDA,KOBIETA,1109
GALINA,KOBIETA,1106
SIMONA,KOBIETA,1084
ALISA,KOBIETA,1081
SEWERYNA,KOBIETA,1062
DAJANA,KOBIETA,1051
ANIKA,KOBIETA,1047
JANA,KOBIETA,1035
FILOMENA,KOBIETA,1028
EMANUELA,KOBIETA,1019
SABRINA,KOBIETA,999
MIRA,KOBIETA,997
HANNAH,KOBIETA,977
SVETLANA,KOBIETA,964
BERENIKA,KOBIETA,962
CARMEN,KOBIETA,953
CAROLINE,KOBIETA,946
KORNELA,KOBIETA,946
GABRIELLA,KOBIETA,939
NIKOLETTA,KOBIETA,939
DARIIA,KOBIETA,936
DARYA,KOBIETA,934
RAMONA,KOBIETA,928
BLANDYNA,KOBIETA,919
BENEDYKTA,KOBIETA,915
IWONNA,KOBIETA,914
LEONTYNA,KOBIETA,908
LUBOMIRA,KOBIETA,907
SVIATLANA,KOBIETA,906
BOGDANA,KOBIETA,898
ŻAKLINA,KOBIETA,898
LIGIA,KOBIETA,892
MARYIA,KOBIETA,892
AMALIA,KOBIETA,882
KIRA,KOBIETA,876
NELLY,KOBIETA,872
LIUDMILA,KOBIETA,871
DALIA,KOBIETA,866
GABRYELA,KOBIETA,865
ALICE,KOBIETA,858
VALENTINA,KOBIETA,855
NAOMI,KOBIETA,853
ZORIANA,KOBIETA,852
EMILA,KOBIETA,851
LILY,KOBIETA,851
MILANA,KOBIETA,848
ELIZABETH,KOBIETA,844
INA,KOBIETA,842
NADIYA,KOBIETA,838
BOHDANA,KOBIETA,837
INGRID,KOBIETA,831
ALICIA,KOBIETA,830
INGEBORGA,KOBIETA,830
MICHAELA,KOBIETA,827
SWIETŁANA,KOBIETA,822
SYBILLA,KOBIETA,818
IRMA,KOBIETA,816
IDALIA,KOBIETA,813
LYUDMYLA,KOBIETA,800
NELIA,KOBIETA,792
BIANCA,KOBIETA,788
DOMICELA,KOBIETA,786
CELESTYNA,KOBIETA,779
SNIZHANA,KOBIETA,771
TEKLA,KOBIETA,768
GRACJANA,KOBIETA,767
INKA,KOBIETA,767
JÓZEFINA,KOBIETA,764
VIKTORYIA,KOBIETA,757
HANA,KOBIETA,754
LILLY,KOBIETA,747
ROXANA,KOBIETA,744
YAROSLAVA,KOBIETA,739
VIOLETA,KOBIETA,738
MARGARITA,KOBIETA,733
KAYA,KOBIETA,732
VLADYSLAVA,KOBIETA,732
ELLA,KOBIETA,729
SŁAWA,KOBIETA,729
LEONIA,KOBIETA,727
BERNARDETA,KOBIETA,724
ŻANETTA,KOBIETA,723
LYUBOV,KOBIETA,713
MARGARETA,KOBIETA,702
CAROLINA,KOBIETA,695
ANZHELIKA,KOBIETA,694
MARIE,KOBIETA,694
ABIGAIL,KOBIETA,693
ARIANA,KOBIETA,687
BENITA,KOBIETA,685
BERTA,KOBIETA,684
MONICA,KOBIETA,678
EKATERINA,KOBIETA,668
LINA,KOBIETA,664
DOBRAWA,KOBIETA,661
ELA,KOBIETA,658
JESIKA,KOBIETA,654
KASANDRA,KOBIETA,645
ZOIA,KOBIETA,627
KARIN,KOBIETA,625
EUNIKA,KOBIETA,624
DOBROCHNA,KOBIETA,623
CRISTINA,KOBIETA,616
DAGNA,KOBIETA,616
JESSIKA,KOBIETA,616
ORIANA,KOBIETA,610
VIKTORIYA,KOBIETA,606
MELISA,KOBIETA,605
YEVA,KOBIETA,599
MELISSA,KOBIETA,594
ZLATA,KOBIETA,589
ZOE,KOBIETA,589
ALIAKSANDRA,KOBIETA,586
ARINA,KOBIETA,586
AUGUSTYNA,KOBIETA,579
NATHALIE,KOBIETA,578
FATIMA,KOBIETA,572
LESŁAWA,KOBIETA,571
LISA,KOBIETA,570
VASYLYNA,KOBIETA,570
JASMINA,KOBIETA,568
GIULIA,KOBIETA,565
SOLOMIIA,KOBIETA,564
MAIA,KOBIETA,563
WILHELMINA,KOBIETA,558
CLARA,KOBIETA,555
JASMIN,KOBIETA,553
JULITTA,KOBIETA,553
DINA,KOBIETA,547
SELENA,KOBIETA,546
MARIETA,KOBIETA,545
EUFEMIA,KOBIETA,544
ELISABETH,KOBIETA,543
NIKOLINA,KOBIETA,541
SYLWESTRA,KOBIETA,537
LARISA,KOBIETA,534
ELISA,KOBIETA,532
SILVIA,KOBIETA,531
YANINA,KOBIETA,523
ERNESTYNA,KOBIETA,520
NELLA,KOBIETA,519
VERA,KOBIETA,518
PETRONELA,KOBIETA,516
ROZWITA,KOBIETA,516
ADELINA,KOBIETA,515
EVELINA,KOBIETA,509
DANA,KOBIETA,508
SYLVIA,KOBIETA,507
VERANIKA,KOBIETA,507
LEILA,KOBIETA,504
LUDOMIRA,KOBIETA,504
SAMANTHA,KOBIETA,501
RADOSŁAWA,KOBIETA,497
LILIYA,KOBIETA,493
AURORA,KOBIETA,488
NIKOLETA,KOBIETA,486
CATHERINE,KOBIETA,482
MIŁOSŁAWA,KOBIETA,482
MELANIE,KOBIETA,481
NELL,KOBIETA,479
MIRANDA,KOBIETA,472
NATASHA,KOBIETA,471
IZOLDA,KOBIETA,470
LAILA,KOBIETA,470
VIVIEN,KOBIETA,467
MAIIA,KOBIETA,466
LETYCJA,KOBIETA,462
MARIAM,KOBIETA,460
KATHERINE,KOBIETA,458
DOBROMIŁA,KOBIETA,455
MARGOT,KOBIETA,453
CHARLOTTE,KOBIETA,449
SOFIYA,KOBIETA,449
AKSANA,KOBIETA,448
NIKA,KOBIETA,448
EMA,KOBIETA,447
INGRIDA,KOBIETA,446
LILI,KOBIETA,444
FRYDERYKA,KOBIETA,443
SUSANNA,KOBIETA,441
BENIGNA,KOBIETA,438
VARVARA,KOBIETA,436
KATHARINA,KOBIETA,435
KAREN,KOBIETA,433
ZENAIDA,KOBIETA,427
KSENIYA,KOBIETA,424
CYRYLA,KOBIETA,423
LUCIA,KOBIETA,422
NARCYZA,KOBIETA,422
AGNES,KOBIETA,421
ELZA,KOBIETA,421
ELINA,KOBIETA,418
ANIDA,KOBIETA,417
AMINA,KOBIETA,414
ISMENA,KOBIETA,413
LAYLA,KOBIETA,413
HALSZKA,KOBIETA,412
TAISIIA,KOBIETA,412
NOA,KOBIETA,411
YAEL,KOBIETA,409
ROKSOLANA,KOBIETA,408
VALERYIA,KOBIETA,405
KSYMENA,KOBIETA,402
SCHOLASTYKA,KOBIETA,401
ANDŻELINA,KOBIETA,400
JACQUELINE,KOBIETA,400
ANGELICA,KOBIETA,397
JASMINE,KOBIETA,397
CHIARA,KOBIETA,394
RUTH,KOBIETA,394
ARIADNA,KOBIETA,393
JULIANA,KOBIETA,392
MARTHA,KOBIETA,392
LIANA,KOBIETA,390
WALTRAUDA,KOBIETA,388
BETINA,KOBIETA,387
LIZA,KOBIETA,387
HERMINA,KOBIETA,386
JELENA,KOBIETA,386
JESICA,KOBIETA,386
ALESIA,KOBIETA,383
ELVIRA,KOBIETA,383
CHRISTINE,KOBIETA,379
DELFINA,KOBIETA,377
LIA,KOBIETA,377
IWETTA,KOBIETA,376
KRYSTSINA,KOBIETA,371
TAISA,KOBIETA,371
TAMAR,KOBIETA,371
ALMA,KOBIETA,370
ANICETA,KOBIETA,366
DEBORA,KOBIETA,366
ALIONA,KOBIETA,361
BIBIANNA,KOBIETA,361
IWETA,KOBIETA,361
OTOLIA,KOBIETA,361
TINA,KOBIETA,361
CHRISTINA,KOBIETA,360
VITALINA,KOBIETA,360
GRACJA,KOBIETA,357
LUKRECJA,KOBIETA,356
MARGARET,KOBIETA,354
ADAMINA,KOBIETA,352
ISABELLE,KOBIETA,350
MARIJA,KOBIETA,350
PALINA,KOBIETA,348
MATILDA,KOBIETA,347
SAMIRA,KOBIETA,347
IANA,KOBIETA,345
NICOLETTA,KOBIETA,345
AMY,KOBIETA,341
MODESTA,KOBIETA,341
PAOLA,KOBIETA,341
RYTA,KOBIETA,341
HIACYNTA,KOBIETA,339
TAMILA,KOBIETA,339
THI,KOBIETA,339
VALERIA,KOBIETA,339
LUDWINA,KOBIETA,338
LUBOW,KOBIETA,337
STEPHANIE,KOBIETA,336
ILZA,KOBIETA,335
LIZAVETA,KOBIETA,334
MICHAL,KOBIETA,334
NADINE,KOBIETA,334
SZARLOTA,KOBIETA,334
ANNE,KOBIETA,332
LESYA,KOBIETA,331
FRANCESCA,KOBIETA,330
NADZEYA,KOBIETA,329
WINCENTYNA,KOBIETA,329
HIERONIMA,KOBIETA,327
ISABEL,KOBIETA,327
AIDA,KOBIETA,326
PRAKSEDA,KOBIETA,326
CHLOE,KOBIETA,325
GAIA,KOBIETA,325
KESJA,KOBIETA,324
ŻANNA,KOBIETA,322
VALIANTSINA,KOBIETA,320
VITALIIA,KOBIETA,320
ANDRZELIKA,KOBIETA,319
YULIA,KOBIETA,319
AMELIE,KOBIETA,317
ZOYA,KOBIETA,317
LUNA,KOBIETA,314
JULIE,KOBIETA,312
LUCJANNA,KOBIETA,312
LUCY,KOBIETA,311
AŁŁA,KOBIETA,310
OXANA,KOBIETA,309
WIELISŁAWA,KOBIETA,309
IRENE,KOBIETA,308
SERAFINA,KOBIETA,305
ARIANNA,KOBIETA,301
EMILIE,KOBIETA,301
RACHEL,KOBIETA,299
YASMIN,KOBIETA,295
HERONIMA,KOBIETA,294
WERA,KOBIETA,292
LUISA,KOBIETA,291
RACHELA,KOBIETA,291
NATALYA,KOBIETA,290
INGRYDA,KOBIETA,288
NELLI,KOBIETA,288
MARY,KOBIETA,287
SOFIJA,KOBIETA,287
ULYANA,KOBIETA,283
ELENI,KOBIETA,282
YARYNA,KOBIETA,282
KSAWERA,KOBIETA,281
ANIA,KOBIETA,280
AURELA,KOBIETA,280
EMILIIA,KOBIETA,280
ANDRIANA,KOBIETA,278
JOHANNA,KOBIETA,278
IRMGARD,KOBIETA,276
KAROLA,KOBIETA,276
ROZA,KOBIETA,275
LEONORA,KOBIETA,274
CARLA,KOBIETA,273
LARISSA,KOBIETA,273
SONJA,KOBIETA,273
ARLENA,KOBIETA,272
CAMILLA,KOBIETA,272
LEONA,KOBIETA,271
NASTAZJA,KOBIETA,270
SUSANNE,KOBIETA,270
ALESSANDRA,KOBIETA,269
VIVIENNE,KOBIETA,269
DORIS,KOBIETA,268
JOLENTA,KOBIETA,268
LAURENCJA,KOBIETA,267
MEGAN,KOBIETA,267
SWITŁANA,KOBIETA,266
ELIANA,KOBIETA,265
SHARON,KOBIETA,265
LEYLA,KOBIETA,264
ANJA,KOBIETA,263
LORENA,KOBIETA,262
MIRONA,KOBIETA,262
